"STUDENT_ID","CLASS","TERM","STATUS","TYPE","PAID_DATE","MONTH","COMMENTS","BOOK","ACTIVITY","TERM_FEES","ADMISSION","TRANSPORT","DAYCARE","ART","DANCE","SNACKS","LUNCH","BF","ADHOC","OTHERS","TOTAL","ID","UNIFORM","SENTMAIL"
25,"DayCare","",1,"","03/08/14","AUG"," ",0,0,0,0,0,3300,0,700,0,0,0,0,0,4000,27,,0
26,"DayCare","",1,"NETBANKING","23/08/14","AUG","  ",0,0,0,0,1200,3000,0,700,250,250,0,0,0,5400,28,0,0
27,"DayCare","",1,"CASH","11/08/14","AUG"," Rs.250 for extra milk",0,0,0,0,0,1800,700,700,450,0,0,0,0,3650,29,,0
29,"DayCare","",1,"CASH","11/08/14","AUG","   ",0,0,0,0,0,2700,0,0,250,250,0,-300,0,2900,30,,0
28,"DayCare","",1,"","05/08/14","AUG","Abacus fees Rs.1000 paid extra added in Ad HOC",0,0,0,0,400,1200,700,0,250,0,0,1000,0,3550,31,,0
30,"DayCare","",1,"","06/08/14","AUG","  ",0,0,0,0,0,3600,0,0,0,0,0,0,0,3600,32,,0
31,"DayCare","",1,"","01/09/14","AUG","Carry Forward to SEP 14",0,0,0,0,600,3000,0,0,250,0,0,0,0,3850,33,0,0
33,"DayCare","",1,"NETBANKING","07/08/14","AUG","  ",0,0,0,0,600,1500,0,0,250,250,0,0,0,2600,34,,0
35,"DayCare","",1,"","03/08/14","AUG","  ",0,0,0,0,0,3900,0,0,0,0,0,0,0,3900,35,,0
42,"DayCare","",1,"CASH","11/08/14","AUG","",0,0,0,0,0,3000,0,0,250,0,0,0,0,3250,36,,0
43,"DayCare","",1,"","06/08/14","AUG","Rs.1800 deducted coming for half month.",0,0,0,0,400,2700,0,0,250,250,0,-1800,0,1800,37,,0
41,"DayCare","",1,"","04/08/14","AUG","  ",0,0,0,0,0,2400,0,0,250,0,0,0,0,2650,38,,0
39,"DayCare","",0,"","","AUG"," July 14 pending Ad-Hoc",0,0,0,0,400,1500,0,0,0,0,250,1900,0,4050,39,,0
37,"DayCare","",1,"CASH","21/08/14","AUG","  ",0,0,0,0,400,3300,0,0,0,250,0,0,0,3950,40,0,0
86,"DayCare","",1,"","03/08/14","AUG"," Pending AdHoc July.Total fees Rs.8,500/-",0,0,0,0,400,1500,0,0,0,0,0,600,0,2500,41,,0
38,"DayCare","",1,"","03/08/14","AUG"," Pending AdHoc July.Total fees Rs.8,500/-",0,0,0,0,600,5400,0,0,0,0,0,600,0,6600,42,,0
45,"DayCare","",1,"NETBANKING","07/08/14","AUG","  ",0,0,0,0,600,1800,0,0,250,250,0,0,0,2900,43,,0
36,"DayCare","",1,"","06/08/14","AUG","  ",0,0,0,0,0,2100,700,700,0,0,0,0,0,3500,44,,0
50,"DayCare","",1,"","04/08/14","AUG","Cheque NO - 843959 dated 05/08/14 to KIDS MANSION",0,0,0,0,0,3000,0,0,250,250,250,0,0,3750,45,,0
55,"DayCare","",1,"NETBANKING","12/08/14","AUG","  ",0,0,0,0,0,6750,0,0,0,0,0,0,0,6750,46,,0
54,"DayCare","",1,"","03/08/14","AUG","  ",0,0,0,0,500,2400,0,700,250,250,0,0,0,4100,47,,0
6,"DayCare","",1,"","03/08/14","AUG","  ",0,0,0,0,0,1000,0,700,0,0,0,0,0,1700,48,,0
7,"DayCare","",1,"","03/08/14","AUG","   ",0,0,0,0,0,4875,0,0,0,0,0,0,0,4875,49,,0
61,"DayCare","",1,"NETBANKING","07/08/14","AUG","  ",0,0,0,0,1500,4500,0,0,0,0,0,0,0,6000,50,,0
60,"DayCare","",1,"","05/08/14","AUG"," July 14 Rs.1500/ fees pending.",0,0,0,0,0,1500,0,0,0,0,0,1500,0,3000,51,,0
53,"DayCare","",1,"CHEQUE","28/0814","AUG","Rs.2950 paid with cheque no 000004",0,0,0,0,400,2100,0,0,250,0,0,0,0,2750,52,0,0
46,"DayCare","",1,"CASH","20/08/14","AUG","   ",0,0,0,0,0,2400,0,0,250,250,0,0,0,2900,53,0,0
59,"DayCare","",1,"","04/08/14","AUG","Cheque NO - 607719 dated 04/04/14 to KIDS MANSION",0,0,0,0,500,3000,0,0,250,250,0,0,0,4000,54,,0
58,"DayCare","",1,"","04/08/14","AUG","Cheque NO - 332284 dated 04/08/14 to KIDS MANSION",0,0,0,0,500,3000,0,700,250,250,0,0,0,4700,55,,0
65,"DayCare","",1,"","06/08/14","AUG","  ",0,0,0,0,0,1200,0,0,0,0,0,0,0,1200,56,,0
56,"DayCare","",1,"CASH","02/08/14A","AUG","",0,0,0,0,0,1800,0,700,250,0,0,0,0,2750,57,,0
62,"DayCare","",1,"CASH","11/08/14","AUG","  ",0,0,0,0,500,3600,0,0,0,0,0,0,0,4100,58,,0
48,"DayCare","",1,"DEC","09/12/14","DEC","   ",0,0,0,0,0,2900,700,0,0,0,0,0,0,3600,59,0,0
52,"DayCare","",1,"CASH","11/08/14","AUG","  ",0,0,0,0,600,1500,0,0,250,0,0,0,0,2350,60,,0
49,"DayCare","",1,"","06/08/14","AUG","  ",0,0,0,0,0,3000,0,700,250,250,0,0,0,4200,61,,0
66,"DayCare","",1,"CHEQUE","02/08/14","AUG","pay to KIDS MANSION cheque no 000026 dated 02/08/2014",0,0,0,0,400,3600,0,0,0,0,0,0,0,4000,62,,0
11,"DayCare","",1,"","06/08/14","AUG"," NETBANKING PAID",0,0,0,0,400,600,0,0,0,0,0,500,0,1500,63,,0
64,"DayCare","",1,"","04/08/14","AUG","Cheque NO - 000007 dated 04/08/14 to Vinaya [Rs.7150]",0,0,0,0,600,4500,0,0,0,0,0,0,0,5100,64,,0
63,"DayCare","",1,"","04/08/14","AUG","Cheque NO - 000007 dated 04/08/14 to Vinaya [Rs.7150]-",0,0,0,0,600,1200,0,0,250,0,0,0,0,2050,65,,0
57,"DayCare","",1,"CHEQUE","04/08/14","AUG","Cheque NO - 702403 dated 02/08/14 to Vinaya",0,0,0,0,0,4500,0,0,0,0,0,0,0,4500,66,,0
87,"DayCare","",1,"CHEQUE","04/08/14","AUG","Cheque NO - 176687 dated 04/08/14 to KIDS MANSION [Rs.2500 admission]",0,0,0,0,0,1800,0,0,250,0,0,2500,0,4550,67,,0
88,"DayCare","",1,"CASH","28/0814","AUG","  ",0,0,0,0,0,2700,0,0,0,0,0,0,0,2700,68,0,0
89,"DayCare","",1,"CASH","20/08/14","AUG","  ",0,0,0,0,0,1200,0,0,0,0,0,0,0,1200,69,0,0
90,"DayCare","",1,"CASH","12/08/14","AUG"," Registration fees of Rs.2500. ",0,0,0,0,0,2625,0,0,0,0,0,2500,0,5125,70,,0
1,"UKG","1",1,"CHEQUE","16/08/14","","Cheque-784931 amount of Rs.10,000 dated 10/06/2014 and cheque 000013 Rs.8650 dated 11/08/14 and Rs.1250 uniform ",1000,3000,11000,0,2400,0,0,0,0,0,0,0,0,17400,71,,0
3,"UKG","3",1,"","","","  Advance of Rs.5000/- cash paid on 05/06/2014 Cash paid of Rs.5,000/- dated 16/06/2014 Cash Paid of Rs.5,000/- on 12/07/2014. Rs.5000/- paid in AUG 11/09/14 Rs.5000/- 14/10/14 Rs.5000 paid 10/11/14 Cash Paid Rs.5000.. Cash on 14/12/14 Rs.5,000/-",0,0,20000,0,0,0,0,0,0,0,0,0,0,20000,72,0,0
1,"UKG","2",1,"CASH","08/09/14",""," Pending Rs.1,200/- paid Rs.15,000/-Rs.12,00 paid via cheque 000028 NarayanaSetty",0,2000,11000,0,3200,0,0,0,0,0,0,0,0,16200,73,0,0
55,"DayCare","",1,"NETBANKING","11/09/14","SEP","  NEFT Cr-VIJB0002046-RENSTAS-Vinaya-VIJBH14224004236",0,0,0,0,0,6750,0,0,0,0,0,0,0,6750,74,0,0
49,"DayCare","",1,"NETBANKING","09/09/14","SEP","NetBanking: SBIN414252392665  Mail Sent total fees including Portfolio and DC SEP-14 is Rs.17,200/-",0,0,0,0,0,3000,0,700,250,250,0,0,0,4200,75,0,0
78,"LKG","3",1,"","","","    Monthly Payment SEP-14 Rs.3,600/- Paid Rs.3,600 for month NOV-14 Rs.3,600 Jan 07 Rs.4000/- 03/FEB/15",0,2000,2,0,0,0,0,0,0,0,0,0,0,5602,76,3600,0
79,"LKG","3",1,"NETBANKING","30/01/15","","Srinidhi Account.  Pending Q2 Rs.16,0000, not opted for 3D",0,0,10000,0,3000,0,0,0,0,0,0,0,0,27000,77,14000,0
70,"LKG","2",1,"CHEQUE","05/11/14","","260708",0,0,10000,0,2400,0,0,0,0,0,0,0,0,12400,78,0,0
83,"LKG","2",1,"CHEQUE","01/11/14","","048402  ",0,2000,10000,0,2400,0,0,0,0,0,0,0,0,14400,79,0,0
71,"LKG","2",1,"CHEQUE","10/09/2014",""," chq 464864, Amount Rs.14,850 paid. 3d Augmentation Rs.2000 Paid via chq 464867",0,2000,10000,0,0,0,0,0,0,0,0,0,0,16850,80,4850,0
68,"LKG","2",1,"NETBANKING","09/0914","","SBIN414252448540 ",0,2000,10000,0,3300,0,0,0,0,0,0,0,0,15300,81,0,0
75,"LKG","2",1,"NETBANKING","02/10/14","","Cash paid Rs.9,500via netbanking Rs.4,700",0,2000,10000,0,0,0,0,0,0,0,0,0,0,12000,82,0,0
74,"LKG","2",1,"NETBANKING","10/09/2014","","  Rs.10000 ref- 768338735A1. 3d Augmentation paid via net banking on 06/10/14",0,2000,10000,0,0,0,0,0,0,0,0,0,0,12000,83,0,0
67,"LKG","2",1,"CASH","09/09/14","","3d Augmentation NOt needed",0,0,10000,0,0,0,0,0,0,0,0,0,0,10000,84,0,0
82,"LKG","2",1,"CASH","10/09/2014","","3d Augmentation Paid",0,2000,0,0,0,0,0,0,0,0,0,0,0,2000,85,0,0
69,"LKG","2",1,"NETBANKING","02/09/14",""," Day Care SEP including Rs.16,850. Net banking ref AXIR142458933824 ",0,2000,10000,0,0,0,0,0,0,0,0,0,0,12000,86,0,0
17,"DayCare","",1,"NETBANKING","02/09/14",""," Day Care SEP including Rs.16,850",0,0,0,0,0,3900,0,700,250,0,0,0,0,4850,87,0,0
72,"LKG","2",1,"CASH","29/09/14","","Did not opt for 3D portfolio.",0,0,10000,0,2400,0,0,0,0,0,0,0,0,12400,88,0,0
73,"LKG","2",1,"CASH","28/0814","","CASH paid",0,2000,10000,0,2400,0,0,0,0,0,0,0,0,14400,89,0,0
81,"LKG","2",1,"NETBANKING","29/09/14","","  ",0,0,10000,0,0,0,0,0,0,0,0,0,0,10000,90,0,0
85,"LKG","2",1,"CASH","02/09/14","","2nd Quarter Paid, Photos not required",0,0,10000,0,0,0,0,0,0,0,0,0,0,10000,91,0,0
8,"DayCare","",1,"NETBANKING","03/09/14","SEP"," Total Fees Rs.14,800",0,0,0,0,0,2100,0,700,0,0,0,0,0,2800,92,0,0
77,"LKG","2",1,"NETBANKING","03/09/14",""," with DC Rs.14,800/- ",0,2000,10000,0,0,0,0,0,0,0,0,0,0,12000,93,0,0
76,"LKG","2",1,"NETBANKING","15/0914","","3D Augmentation NOT Taken",0,0,10000,0,0,0,0,0,0,0,0,0,0,10000,94,0,0
84,"LKG","2",1,"CASH","08/09/14","","Paid Cash Rs.15,400",0,2000,10000,0,2400,0,0,0,0,0,0,0,0,15400,95,1000,0
40,"DayCare","",1,"NETBANKING","02/09/14",""," Total Fees including DC Rs.13,100.",0,0,0,0,400,1200,0,0,0,250,250,0,0,2100,96,0,0
135,"PG","2",1,"NETBANKING","02/09/14","","Total Fees including DC Rs.13,100.",0,2000,8500,0,0,0,0,0,0,0,0,0,0,10500,97,0,0
35,"DayCare","",1,"NETBANKING","03/09/14","SEP"," Total Fees Rs.14,400",0,0,0,0,0,3900,0,0,0,0,0,0,0,3900,98,0,0
146,"PG","2",1,"NETBANKING","03/09/14","","Total Fee Rs.14,400 paid.",0,2000,8500,0,0,0,0,0,0,0,0,0,0,10500,99,0,0
142,"PG","2",1,"CHEQUE","05/09/14",""," 296799 Rs.8,500/",0,0,8500,0,0,0,0,0,0,0,0,0,0,8500,100,0,0
143,"PG","2",1,"CASH","02/09/14","","",0,2000,8500,0,0,0,0,0,0,0,0,0,0,10500,101,0,0
138,"PG","2",1,"CHEQUE","10/09/2014","","000003  ",0,2000,8500,0,2400,0,0,0,0,0,0,0,0,12900,102,0,0
139,"PG","2",1,"NETBANKING","05/09/14","","Rs.9550 pending Fees quarter one.Amt Paid Rs.22500 00901610074989 KM AC",0,2000,8500,0,2400,0,0,0,0,0,0,0,0,22450,103,9550,0
145,"PG","2",1,"CHEQUE","08/09/14","","Chq 031513",0,2000,8500,0,1600,0,0,0,0,0,0,0,0,12100,104,0,0
136,"PG","2",1,"CHEQUE","03/08/14","","chq- 884913",0,2000,8500,0,8600,0,0,0,0,0,0,0,0,23150,105,4050,0
13,"DayCare","",1,"NETBANKING","03/09/14","SEP","  ",0,0,0,0,400,1200,700,0,250,0,0,1250,0,3800,106,0,0
45,"DayCare","",1,"NETBANKING","05/09/14","SEP","  ",0,0,0,0,600,1800,0,0,250,250,0,0,0,2900,107,0,0
64,"DayCare","",1,"CHEQUE","07/09/14","SEP","Cheque No 000008",0,0,0,0,600,6750,0,0,0,0,0,0,0,7350,108,0,0
63,"DayCare","",1,"CHEQUE","07/09/14","SEP","Cheque 000008",0,0,0,0,600,1800,700,0,250,0,0,500,0,3850,109,0,0
90,"DayCare","",1,"CASH","06/09/14","","   ",0,0,0,0,0,2600,0,0,0,0,0,0,0,2600,110,0,0
65,"DayCare","",1,"CASH","02/09/14","SEP","  ",0,0,0,0,0,1200,0,0,0,0,0,0,0,1200,111,0,0
22,"DayCare","",1,"NETBANKING","05/09/14","SEP"," Total Fees: Rs.13,100",0,0,0,0,0,2100,0,0,0,0,0,0,0,2100,112,0,0
94,"NURSERY","2",1,"NETBANKING","05/09/14","","NetBanking dated 05/SEP/14 ref KKBKH14248835612 . Paid 3D cash Rs.2000/-",0,2000,9000,0,0,0,0,0,0,0,0,0,0,9000,113,0,0
102,"NURSERY","2",1,"NETBANKING","08/09/14","","Amount Rs.14,850",0,2000,9000,0,0,0,0,0,0,0,0,0,0,11000,114,0,0
31,"DayCare","",1,"NETBANKING","08/09/14","SEP","Total Fees Rs.14,850",0,0,0,0,600,3000,0,0,250,0,0,0,0,3850,115,0,0
36,"DayCare","",1,"CASH","06/09/14","SEP","    ",0,0,0,0,0,1200,700,700,0,0,0,0,0,2600,116,0,0
15,"DayCare","",1,"NETBANKING","05/09/14","SEP"," Rs.3,950/-  ",0,0,0,0,600,2400,0,700,0,0,0,0,0,3700,117,0,0
9,"DayCare","",1,"CASH","03/09/14","SEP","  ",0,0,0,0,0,5400,0,0,0,0,0,0,0,5400,118,0,0
10,"DayCare","",1,"CASH","07/09/14","SEP","   ",0,0,0,0,0,1200,0,700,250,0,0,-100,0,2050,119,0,0
27,"DayCare","",1,"CASH","11/09/14","SEP","   ",0,0,0,0,0,1800,700,700,450,0,0,0,0,3650,120,0,0
21,"DayCare","",1,"NETBANKING","04/09/14","SEP","Ref 729692323A1   ",0,0,0,0,0,2700,0,0,0,0,0,0,0,2700,121,0,0
66,"DayCare","",1,"NETBANKING","05/09/14","SEP","KM AC",0,0,0,0,400,3600,0,0,0,0,0,0,0,4000,122,0,0
24,"DayCare","",1,"NETBANKING","08/09/14","SEP","   ",0,0,0,0,600,1800,0,0,0,0,0,600,0,3000,123,0,0
56,"DayCare","",1,"NETBANKING","02/09/14","SEP","KM Account 770421044A1 ",0,0,0,0,0,1800,0,700,250,0,0,0,0,2750,124,0,0
16,"DayCare","",1,"CHEQUE","08/09/14","SEP","Chq-464864",0,0,0,0,0,3900,0,700,250,0,0,0,0,4850,125,0,0
57,"DayCare","",1,"CHEQUE","07/09/14","SEP","Chq- 291860 amount 15,500",0,0,0,0,0,4500,0,0,0,0,0,0,0,4500,126,0,0
118,"NURSERY","2",1,"CHEQUE","07/09/14","","Chq no 291860 Total Fees: Rs.15,500",0,2000,9000,0,0,0,0,0,0,0,0,0,0,11000,127,0,0
131,"PG","2",1,"NETBANKING","03/09/14",""," Total Fees: Rs.14,100",0,2000,8500,0,0,0,0,0,0,0,0,0,0,10500,128,0,0
30,"DayCare","",1,"NETBANKING","03/09/14","SEP"," Total Fees: Rs.14,100",0,0,0,0,0,3600,0,0,0,0,0,0,0,3600,129,0,0
88,"DayCare","",1,"CASH","01/09/14","SEP","  ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,0,0
96,"NURSERY","2",1,"CASH","06/09/14","","Paid Cash Rs.11,000/-",0,2000,9000,0,0,0,0,0,0,0,0,0,0,11000,131,0,0
60,"DayCare","",1,"CASH","03/09/14","SEP","  ",0,0,0,0,0,3000,0,0,0,0,0,750,0,3750,132,0,0
54,"DayCare","",1,"NETBANKING","02/09/14","SEP","   ",0,0,0,0,500,2100,0,700,250,250,0,0,0,3800,133,0,0
61,"DayCare","",1,"NETBANKING","07/09/14","SEP","  ",0,0,0,0,1250,4500,0,0,0,0,0,0,0,5750,134,0,0
42,"DayCare","",1,"CASH","03/09/14","SEP"," Total Fees: Rs.14,250",0,0,0,0,0,3000,0,0,250,0,0,0,0,3250,135,0,0
93,"NURSERY","2",1,"CASH","03/09/14",""," Total Fees: Rs.14,250",0,2000,9000,0,0,0,0,0,0,0,0,0,0,11000,136,0,0
58,"DayCare","",1,"CHEQUE","10/09/14","SEP","Cheque NO - 332286 dated 04/08/14 to KIDS MANSION",0,0,0,0,500,3000,0,700,250,250,0,0,0,4700,137,0,0
59,"DayCare","",1,"CHEQUE","17/09/14","SEP","713044",0,0,0,0,500,3000,0,0,250,250,0,0,0,4000,138,0,0
92,"NURSERY","2",1,"CASH","10/09/2014","","Total Fees paid. 3d Aug not opted.",0,0,9000,0,0,0,0,0,0,0,0,0,0,9000,139,0,0
29,"DayCare","",1,"CASH","06/09/14","SEP","  Total Fees: Rs.13,900Paid Rs.3000/- pending Rs.10,900/-",0,0,0,0,0,2400,0,0,250,250,0,0,0,2900,140,0,0
19,"DayCare","",1,"CASH","20/09/14","SEP"," Total Fees: Rs.5,900 ",0,0,0,0,600,2400,0,0,250,0,0,600,0,3850,141,0,0
20,"DayCare","",1,"CASH","20/09/14","SEP"," Total Fees: Rs.5,900",0,0,0,0,600,1200,0,0,250,0,0,0,0,2050,142,0,0
62,"DayCare","",1,"CASH","03/09/14","SEP","  ",0,0,0,0,500,3600,0,0,0,0,0,0,0,4100,143,0,0
103,"NURSERY","2",1,"NETBANKING","05/09/14",""," Total Fees: Rs.14,600",0,2000,9000,0,0,0,0,0,0,0,0,0,0,11000,144,0,0
43,"DayCare","",1,"NETBANKING","05/09/14","SEP"," Total Fees: Rs.14,600",0,0,0,0,400,2700,0,0,250,250,0,0,0,3600,145,0,0
52,"DayCare","",1,"CASH","10/09/14","SEP","  ",0,0,0,0,600,1500,0,0,250,0,0,0,0,2350,146,0,0
41,"DayCare","",1,"CASH","02/09/14","SEP","  ",0,0,0,0,0,2400,0,0,250,0,0,0,0,2650,147,0,0
86,"DayCare","",1,"NETBANKING","05/09/14","SEP","  Grand Total: Rs.9,700",0,0,0,0,400,2100,0,0,0,0,0,0,0,2500,148,0,0
38,"DayCare","",1,"NETBANKING","05/09/14","SEP"," Grand Total: Rs.9,700",0,0,0,0,600,5400,0,0,0,0,0,1200,0,7200,149,0,0
53,"DayCare","",1,"CHEQUE","02/09/14","SEP"," Total Fees: Rs.13,950 cheque no 00005",0,0,0,0,400,2100,0,0,250,0,0,0,0,2750,150,0,0
104,"NURSERY","2",1,"CHEQUE","02/09/14","","Total Fees: Rs.13,950 cheque no 000004 dated 02/09/14",0,2000,9000,0,0,0,0,0,0,0,0,0,0,11000,151,0,0
153,"PG","2",1,"CASH","02/09/14","","Paid",0,2000,8500,0,0,0,0,0,0,0,0,0,0,10500,152,0,0
107,"NURSERY","2",1,"CASH","01/09/14","","All term fees, activity ",0,0,34000,0,0,0,0,0,0,0,0,0,0,34000,153,0,0
87,"DayCare","",1,"CHEQUE","02/09/14","SEP","Cheque NO 064975 dated 02/09/14 amount Rs.1850",0,0,0,0,400,1200,0,0,250,0,0,0,0,1850,154,0,0
154,"NURSERY","2",1,"CHEQUE","02/09/14","","Ad Hoc under book cheque no 050390 dated 02/09/14",2000,3000,9000,5000,3200,0,0,0,0,0,0,0,0,23450,155,1250,0
47,"DayCare","",0,"","","","   ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,0,0
98,"NURSERY","2",1,"CASH","09/10/14","","  ",0,2000,9000,0,2400,0,0,0,0,0,0,0,0,13400,157,0,0
121,"NURSERY","3",1,"NETBANKING","02/12/14","","  Is not charged with 3D Augmentation. Payment of Rs.10,000 made via net banking 658039361 on 07/10/14 AMount of Rs.23,250 paid ref 685508122 ",1800,3800,9000,5000,2400,0,0,0,0,0,0,0,0,23250,158,1250,0
128,"NURSERY","2",1,"CASH","28/10/14","","Did not opt for 3D. Excess 750 paid in first quarter",0,0,8250,0,0,0,0,0,0,0,0,0,0,8250,159,0,0
126,"NURSERY","2",1,"NETBANKING","09/10/14","","KM AC CITIN14476942586 ",0,2000,9000,0,2400,0,0,0,0,0,0,0,0,13400,160,0,0
155,"NURSERY","2",1,"CHEQUE","07/09/14",""," Chq-505738 amount Rs.14,000- 3k Adhoc Day care.",0,2000,9000,0,0,0,0,0,0,0,0,0,0,14000,161,3000,0
97,"NURSERY","2",1,"NETBANKING","27/10/14","","ref no 37748295A1",0,2000,9000,0,2400,0,0,0,0,0,0,0,0,13400,162,0,0
113,"NURSERY","2",1,"CHEQUE","10/09/2014","","Chq- 522319",0,2000,9000,0,0,0,0,0,0,0,0,0,0,11000,163,0,0
106,"NURSERY","2",0,"","","","Rs.850 DC, 3D 2K",0,2000,0,0,0,0,0,0,0,0,0,0,0,2850,164,850,0
158,"NURSERY","2",1,"CASH","20/10/14","","Mail Sent",0,2000,9000,0,0,0,0,0,0,0,0,0,0,11000,165,0,0
167,"DayCare","",1,"CHEQUE","07/09/14","SEP"," 000051",0,0,0,0,400,1200,0,0,0,250,0,0,0,1850,166,0,0
28,"DayCare","",1,"NETBANKING","08/09/14","SEP","Rs.500 paid more CITIN14467896187 ",0,0,0,0,400,1200,700,0,250,0,0,500,0,3050,167,0,0
169,"DayCare","",1,"CASH","08/09/14","SEP","  ",0,0,0,0,0,1800,0,0,0,0,0,2500,0,4300,168,0,0
117,"NURSERY","2",1,"NETBANKING","12/09/14","","  ref -646756566 ",0,2000,9000,0,2400,0,0,0,0,0,0,0,0,13400,169,0,0
7,"DayCare","",1,"NETBANKING","09/09/14","SEP","  ",0,0,0,0,0,4875,0,0,0,0,0,0,0,4875,170,0,0
6,"DayCare","",1,"NETBANKING","09/09/14","SEP","  ",0,0,0,0,0,1000,0,700,0,0,0,0,0,1700,171,0,0
18,"DayCare","",1,"NETBANKING","09/09/14","SEP","  ",0,0,0,0,400,2100,0,0,250,0,0,0,0,2750,172,0,0
26,"DayCare","",1,"NETBANKING","22/09/14","SEP","  ",0,0,0,0,1200,3000,0,700,250,250,0,0,0,5400,173,0,0
89,"DayCare","",1,"CASH","15/09/14","SEP","  ",0,0,0,0,0,1200,0,0,0,0,0,0,0,1200,174,0,0
11,"DayCare","",1,"NETBANKING","18/09/14","SEP","     ",0,0,0,0,400,600,0,0,0,0,0,0,0,1000,175,0,0
37,"DayCare","",1,"CASH","29/09/14","SEP"," Rs.14,100/- including PG Fees.",0,0,0,0,400,3900,0,0,0,250,0,0,0,4550,176,0,0
46,"DayCare","",1,"CASH","29/09/14","SEP","   ",0,0,0,0,0,2400,0,0,250,250,0,0,0,2900,177,0,0
56,"DayCare","",1,"NETBANKING","06/10/14","OCT","KM AC .. AC NO 06341050013970 ",0,0,0,0,0,1800,0,700,250,0,0,0,0,2750,178,0,1
27,"DayCare","",1,"CASH","10/10/11","OCT"," ",0,0,0,0,0,1800,700,700,250,0,0,0,0,3450,179,0,1
163,"PG","2",0,"","",""," Day Care SEP to Dec 14 Rs.2000/- per month. Cheque Rs.4500 760333 Cheque Rs.5500 000001--- Cheque Rs.5000 760335 dated 08/12/14 --- Chq 760318 Rs.5,500 dated  05/01/15 760336 05/02/15 amt Rs.5000 760338 08/03/15 amt Rs.5200",0,2000,8500,8000,0,0,0,0,0,0,0,0,0,18500,180,0,0
164,"PG","2",1,"NETBANKING","05/11/14",""," Did not opt for 3D Aug ref KKBKH14309705356  ",0,0,8500,0,3400,0,0,0,0,0,0,0,0,11900,181,0,0
165,"PG","2",1,"CHEQUE","14/09/14",""," 3D Augmentation NOT opted. Ch1 626001",0,0,8500,0,3400,0,0,0,0,0,0,0,0,11900,182,0,0
132,"PG","2",1,"CASH","08/10/14","","Did not opt for 3D Augmentation.  ",0,0,8500,0,0,0,0,0,0,0,0,0,0,8500,183,0,0
133,"PG","2",1,"NETBANKING","20/09/14","","Day Care one Hour Rs.3,600/- Transaction 426314642328 ",0,2000,8500,3600,2400,0,0,0,0,0,0,0,0,16500,184,0,0
